r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.200000e+06 	1.586983e+09 	5.397564e+02 	1.604931e+22 	1.266472e+03 	3.136907e+08 	2.476691e+05 	1.715276e+39 	1.120991e+39 	3.274429e+07 	3.333333e-01 	
1.201255e+06 	1.583229e+09 	5.351626e+02 	1.589794e+22 	1.274323e+03 	3.133195e+08 	2.458520e+05 	1.712206e+39 	1.119605e+39 	3.254904e+07 	3.333333e-01 	
1.202512e+06 	1.579484e+09 	5.306080e+02 	1.574797e+22 	1.282221e+03 	3.129487e+08 	2.440486e+05 	1.709142e+39 	1.118220e+39 	3.235496e+07 	3.333333e-01 	
1.203772e+06 	1.575747e+09 	5.260920e+02 	1.559938e+22 	1.290165e+03 	3.125782e+08 	2.422588e+05 	1.706086e+39 	1.116837e+39 	3.216206e+07 	3.333333e-01 	
1.205034e+06 	1.572018e+09 	5.216146e+02 	1.545218e+22 	1.298156e+03 	3.122082e+08 	2.404825e+05 	1.703035e+39 	1.115457e+39 	3.197033e+07 	3.333333e-01 	
1.206299e+06 	1.568298e+09 	5.171752e+02 	1.530634e+22 	1.306195e+03 	3.118385e+08 	2.387196e+05 	1.699992e+39 	1.114078e+39 	3.177975e+07 	3.333333e-01 	
1.207567e+06 	1.564585e+09 	5.127736e+02 	1.516185e+22 	1.314281e+03 	3.114692e+08 	2.369700e+05 	1.696955e+39 	1.112702e+39 	3.159032e+07 	3.333333e-01 	
1.208836e+06 	1.560881e+09 	5.084095e+02 	1.501870e+22 	1.322414e+03 	3.111002e+08 	2.352336e+05 	1.693925e+39 	1.111328e+39 	3.140203e+07 	3.333333e-01 	
1.210109e+06 	1.557185e+09 	5.040825e+02 	1.487688e+22 	1.330595e+03 	3.107317e+08 	2.335103e+05 	1.690901e+39 	1.109956e+39 	3.121488e+07 	3.333333e-01 	
1.211384e+06 	1.553497e+09 	4.997924e+02 	1.473637e+22 	1.338825e+03 	3.103635e+08 	2.318000e+05 	1.687884e+39 	1.108585e+39 	3.102886e+07 	3.333333e-01 	
1.212661e+06 	1.549817e+09 	4.955387e+02 	1.459717e+22 	1.347103e+03 	3.099957e+08 	2.301026e+05 	1.684873e+39 	1.107217e+39 	3.084396e+07 	3.333333e-01 	
1.213941e+06 	1.546145e+09 	4.913213e+02 	1.445926e+22 	1.355430e+03 	3.096283e+08 	2.284180e+05 	1.681869e+39 	1.105851e+39 	3.066018e+07 	3.333333e-01 	
1.215224e+06 	1.542482e+09 	4.871397e+02 	1.432263e+22 	1.363806e+03 	3.092612e+08 	2.267461e+05 	1.678872e+39 	1.104487e+39 	3.047751e+07 	3.333333e-01 	
1.216509e+06 	1.538826e+09 	4.829938e+02 	1.418727e+22 	1.372231e+03 	3.088945e+08 	2.250868e+05 	1.675881e+39 	1.103125e+39 	3.029594e+07 	3.333333e-01 	
1.217797e+06 	1.535178e+09 	4.788831e+02 	1.405316e+22 	1.380705e+03 	3.085282e+08 	2.234400e+05 	1.672897e+39 	1.101765e+39 	3.011547e+07 	3.333333e-01 	
1.219087e+06 	1.531539e+09 	4.748074e+02 	1.392030e+22 	1.389230e+03 	3.081622e+08 	2.218056e+05 	1.669919e+39 	1.100407e+39 	2.993608e+07 	3.333333e-01 	
1.220380e+06 	1.527907e+09 	4.707664e+02 	1.378868e+22 	1.397804e+03 	3.077967e+08 	2.201834e+05 	1.666947e+39 	1.099052e+39 	2.975778e+07 	3.333333e-01 	
1.221675e+06 	1.524284e+09 	4.667598e+02 	1.365828e+22 	1.406430e+03 	3.074315e+08 	2.185735e+05 	1.663982e+39 	1.097698e+39 	2.958054e+07 	3.333333e-01 	
1.222973e+06 	1.520668e+09 	4.627873e+02 	1.352909e+22 	1.415105e+03 	3.070667e+08 	2.169757e+05 	1.661024e+39 	1.096346e+39 	2.940438e+07 	3.333333e-01 	
1.224274e+06 	1.517061e+09 	4.588486e+02 	1.340110e+22 	1.423832e+03 	3.067022e+08 	2.153900e+05 	1.658072e+39 	1.094997e+39 	2.922928e+07 	3.333333e-01 	
1.225577e+06 	1.513461e+09 	4.549434e+02 	1.327430e+22 	1.432610e+03 	3.063381e+08 	2.138161e+05 	1.655126e+39 	1.093649e+39 	2.905523e+07 	3.333333e-01 	
1.226883e+06 	1.509869e+09 	4.510715e+02 	1.314868e+22 	1.441440e+03 	3.059744e+08 	2.122541e+05 	1.652187e+39 	1.092303e+39 	2.888224e+07 	3.333333e-01 	
